station,platform,gate_id,train,train_type,operator,destination,status,door_state,sensor_temp,sensor_vib,people,capacity,occupancy_rate,eta,delay,platform_length,door_position,sync_score,maintenance_status,risk_score,signal_status,track_number,last_maintenance,power_consumption,humidity,door_motor_current,connection_line
München Hbf,A,G03,S3,S-Bahn,S-Bahn München,Erding,arrived,jammed,48.2,5.5,40,320,12.5,0,0,380,middle,42,CRITICAL,76,red,1,2024-03-08,67.8,75,4.2,U2
München Hbf,B,G01,ICE 202,Higher Speed,DB Fernverkehr,Berlin Hbf,approaching,closing,24.0,0.2,5,800,0.6,10,-2,420,left,99,OPTIMAL,8,green,4,2024-03-13,30.1,56,1.4,U5
München Hbf,B,G02,,S-Bahn,S-Bahn München,Garching,clear,closed,23.6,0.0,0,320,0.0,0,0,380,right,100,OPTIMAL,0,green,5,2024-03-22,9.8,51,0.7,U3
München Hbf,B,G03,RE 12,Regional,DB Regio,Landshut(Bay),departed,closed,24.3,0.1,8,200,4.0,0,8,360,middle,97,OPTIMAL,7,green,2,2024-03-19,17.2,55,1.1,U4
Hamburg Hbf,A,G01,ICE 700,Higher Speed,DB Fernverkehr,Köln Hbf,departed,closed,23.9,0.1,55,800,6.9,0,0,420,left,99,OPTIMAL,4,green,8,2024-03-17,32.5,58,1.3,U5
Hamburg Hbf,A,G02,RE 220,Regional,DB Regio,Bremen Hbf,approaching,closing,25.5,0.4,40,200,20.0,5,3,360,right,89,MONITOR,30,green,3,2024-03-11,26.8,62,2.4,U4
Hamburg Hbf,A,G03,,ICE,DB Fernverkehr,Berlin Hbf,clear,closed,23.4,0.0,0,800,0.0,0,0,420,middle,100,OPTIMAL,1,green,9,2024-03-21,14.3,53,0.8,U6
Hamburg Hbf,B,G01,S1,S-Bahn,S-Bahn Hamburg,Poppenbüttel,arrived,open,26.0,0.9,20,320,6.3,0,4,380,left,83,WARNING,36,green,1,2024-03-09,21.9,64,2.6,U3
Hamburg Hbf,B,G02,,S-Bahn,S-Bahn Hamburg,Neugraben,clear,closed,23.4,0.0,0,320,0.0,0,0,380,right,100,OPTIMAL,0,green,4,2024-03-22,7.2,50,0.6,U4
Hamburg Hbf,B,G03,ICE 75,Higher Speed,DB Fernverkehr,München Hbf,departed,closed,23.7,0.1,30,800,3.8,0,12,420,middle,98,OPTIMAL,5,green,10,2024-03-18,28.4,57,1.2,U5
Frankfurt Hbf,A,G01,ICE 11,Higher Speed,DB Fernverkehr,München Hbf,approaching,closing,24.8,0.3,60,800,7.5,4,0,420,left,95,OPTIMAL,13,green,12,2024-03-16,39.8,59,1.7,U5
Frankfurt Hbf,A,G02,RE 40,Regional,DB Regio,Mainz Hbf,arrived,open,26.8,1.1,15,200,7.5,0,2,360,right,84,WARNING,32,yellow,3,2024-03-14,24.1,65,2.7,U4
Frankfurt Hbf,B,G01,ICE 88,Higher Speed,DB Fernverkehr,Hamburg Hbf,departed,closed,24.0,0.1,22,800,2.8,0,0,420,middle,100,OPTIMAL,3,green,11,2024-03-20,26.3,56,1.0,U5
Frankfurt Hbf,B,G02,S8,S-Bahn,S-Bahn Frankfurt,Wiesbaden,approaching,closing,25.2,0.3,30,320,9.4,6,5,380,left,92,MONITOR,19,yellow,2,2024-03-17,19.8,61,1.9,U3
Frankfurt Hbf,B,G03,RE 10,Regional,DB Regio,Koblenz Hbf,approaching,closing,24.5,0.2,8,200,4.0,12,-3,360,right,96,OPTIMAL,9,green,4,2024-03-19,15.6,58,1.3,U4
Köln Hbf,A,G01,ICE 921,Higher Speed,DB Fernverkehr,München Hbf,approaching,closing,24.1,0.2,45,800,5.6,3,0,420,left,97,OPTIMAL,11,green,13,2024-03-15,36.2,57,1.6,U5
Köln Hbf,A,G02,S12,S-Bahn,S-Bahn Köln,Bonn Hbf,departed,closed,23.7,0.1,10,320,3.1,0,0,380,right,100,OPTIMAL,4,green,1,2024-03-21,13.5,54,1.1,U1
Köln Hbf,B,G01,ICE 15,Higher Speed,DB Fernverkehr,Berlin Hbf,approaching,closing,25.1,0.3,25,800,3.1,9,5,420,middle,93,MONITOR,16,green,14,2024-03-12,33.4,60,1.8,U5
Köln Hbf,B,G02,RE 90,Regional,DB Regio,Aachen Hbf,approaching,closing,24.9,0.3,18,200,9.0,7,-1,360,right,94,OPTIMAL,14,green,2,2024-03-18,20.1,59,1.5,U4
Köln Hbf,B,G03,,ICE,DB Fernverkehr,Frankfurt(Main)Hbf,clear,closed,23.6,0.0,0,800,0.0,0,0,420,middle,100,OPTIMAL,1,green,15,2024-03-22,11.3,52,0.8,U6
Stuttgart Hbf,A,G01,ICE 55,Higher Speed,DB Fernverkehr,München Hbf,approaching,closing,24.3,0.2,38,800,4.8,5,0,420,left,97,OPTIMAL,9,green,7,2024-03-14,34.5,57,1.5,U5
Stuttgart Hbf,A,G02,S6,S-Bahn,S-Bahn Stuttgart,Weil der Stadt,arrived,open,26.5,0.7,22,320,6.9,0,8,380,middle,80,WARNING,39,yellow,3,2024-03-07,23.7,66,2.5,U2
Stuttgart Hbf,A,G03,,ICE,DB Fernverkehr,Hamburg Hbf,clear,closed,23.5,0.0,0,800,0.0,0,0,420,right,100,OPTIMAL,0,green,8,2024-03-22,10.2,51,0.7,U6
Stuttgart Hbf,B,G01,RE 44,Regional,DB Regio,Heilbronn Hbf,departed,closed,23.8,0.1,9,200,4.5,0,3,360,middle,97,OPTIMAL,6,green,1,2024-03-18,16.8,55,1.1,U4
Stuttgart Hbf,B,G02,ICE 310,Higher Speed,DB Fernverkehr,Berlin Hbf,approaching,jammed,47.8,4.9,30,800,3.8,6,12,420,middle,38,CRITICAL,71,red,6,2024-02-28,72.3,78,3.9,U5
Stuttgart Hbf,B,G03,S60,S-Bahn,S-Bahn Stuttgart,Böblingen,departed,closed,24.2,0.1,6,320,1.9,0,4,380,right,99,OPTIMAL,5,green,4,2024-03-19,14.6,55,1.0,U3
Leipzig Hbf,A,G01,ICE 19,Higher Speed,DB Fernverkehr,Frankfurt(Main)Hbf,approaching,closing,24.6,0.2,50,800,6.3,3,0,420,left,96,OPTIMAL,12,green,9,2024-03-16,37.9,57,1.6,U5
Leipzig Hbf,A,G02,S11,S-Bahn,S-Bahn Leipzig,Halle(Saale),arrived,open,26.2,0.6,35,320,10.9,0,1,380,right,86,MONITOR,24,green,2,2024-03-11,20.5,63,2.3,U1
Leipzig Hbf,B,G01,ICE 77,Higher Speed,DB Fernverkehr,München Hbf,departed,closed,24.0,0.1,14,800,1.8,0,0,420,middle,98,OPTIMAL,4,green,10,2024-03-18,29.1,56,1.2,U5
Leipzig Hbf,B,G02,,S-Bahn,S-Bahn Leipzig,Markkleeberg,clear,closed,23.7,0.0,0,320,0.0,0,0,380,middle,100,OPTIMAL,1,green,3,2024-03-22,8.9,52,0.6,U2
Leipzig Hbf,B,G03,RE 1,Regional,DB Regio,Dresden Hbf,approaching,closing,24.8,0.3,22,200,11.0,2,-2,360,left,92,MONITOR,20,green,1,2024-03-17,18.4,58,1.4,U4
Dortmund Hbf,A,G01,ICE 401,Higher Speed,DB Fernverkehr,München Hbf,approaching,closing,24.4,0.2,38,800,4.8,6,0,420,left,97,OPTIMAL,10,green,5,2024-03-15,35.2,57,1.5,U5
Dortmund Hbf,A,G02,S1,S-Bahn,S-Bahn Dortmund,Dortmund Airport,arrived,open,26.3,0.8,25,320,7.8,0,2,380,middle,84,MONITOR,31,yellow,2,2024-03-09,21.6,64,2.4,U3
Dortmund Hbf,A,G03,RE 3,Regional,DB Regio,Münster(Westf),departed,closed,23.9,0.1,15,200,7.5,0,0,360,right,98,OPTIMAL,5,green,3,2024-03-19,16.8,55,1.1,U4
Dortmund Hbf,B,G01,ICE 511,Higher Speed,DB Fernverkehr,Frankfurt(Main)Hbf,approaching,closing,25.0,0.3,28,800,3.5,4,-1,420,middle,93,MONITOR,14,green,6,2024-03-14,31.7,59,1.7,U5
Dortmund Hbf,B,G02,,S-Bahn,S-Bahn Dortmund,Dortmund-Dorstfeld,clear,closed,23.5,0.0,0,320,0.0,0,0,380,middle,100,OPTIMAL,0,green,4,2024-03-22,9.4,51,0.7,U2
Dortmund Hbf,B,G03,RE 6,Regional,DB Regio,Bielefeld Hbf,approaching,closing,24.6,0.2,18,200,9.0,3,2,360,left,95,OPTIMAL,12,green,1,2024-03-17,19.3,58,1.4,U4
Düsseldorf Hbf,A,G01,ICE 10,Higher Speed,DB Fernverkehr,Berlin Hbf,approaching,closing,24.3,0.2,42,800,5.3,5,0,420,left,96,OPTIMAL,11,green,11,2024-03-16,34.1,57,1.5,U5
Düsseldorf Hbf,A,G02,S28,S-Bahn,S-Bahn Düsseldorf,Mettmann Stadtwald,arrived,open,26.7,0.9,18,320,5.6,0,3,380,middle,82,WARNING,34,yellow,2,2024-03-06,22.9,65,2.5,U3
Düsseldorf Hbf,A,G03,RE 1,Regional,DB Regio,Bochum Hbf,departed,closed,23.8,0.1,12,200,6.0,0,0,360,right,99,OPTIMAL,4,green,4,2024-03-18,15.4,55,1.0,U4
Düsseldorf Hbf,B,G01,ICE 505,Higher Speed,DB Fernverkehr,Hamburg Hbf,approaching,closing,25.2,0.3,33,800,4.1,7,-2,420,middle,92,MONITOR,17,green,12,2024-03-13,29.8,60,1.8,U5
Düsseldorf Hbf,B,G02,,S-Bahn,S-Bahn Düsseldorf,Düsseldorf Flughafen,clear,closed,23.6,0.0,0,320,0.0,0,0,380,middle,100,OPTIMAL,0,green,3,2024-03-22,8.1,50,0.6,U1
Düsseldorf Hbf,B,G03,RE 2,Regional,DB Regio,Essen Hbf,approaching,closing,24.9,0.3,20,200,10.0,2,-1,360,left,94,OPTIMAL,13,green,1,2024-03-16,17.6,58,1.3,U4
Hannover Hbf,A,G01,ICE 270,Higher Speed,DB Fernverkehr,Berlin Hbf,approaching,closing,24.5,0.2,48,800,6.0,4,0,420,left,97,OPTIMAL,9,green,8,2024-03-15,33.8,57,1.5,U5
Hannover Hbf,A,G02,S2,S-Bahn,S-Bahn Hannover,Wunstorf,arrived,open,26.1,0.7,22,320,6.9,0,1,380,middle,85,WARNING,27,green,2,2024-03-10,20.3,63,2.2,U3
Hannover Hbf,A,G03,RE 2,Regional,DB Regio,Braunschweig Hbf,departed,closed,23.7,0.1,10,200,5.0,0,0,360,right,98,OPTIMAL,5,green,5,2024-03-18,14.9,55,1.1,U4
Hannover Hbf,B,G01,ICE 372,Higher Speed,DB Fernverkehr,Frankfurt(Main)Hbf,approaching,closing,24.9,0.3,36,800,4.5,8,-3,420,middle,91,MONITOR,21,green,9,2024-03-14,26.5,59,1.7,U5
Hannover Hbf,B,G02,,S-Bahn,S-Bahn Hannover,Sarstedt,clear,closed,23.4,0.0,0,320,0.0,0,0,380,middle,100,OPTIMAL,0,green,6,2024-03-22,7.6,50,0.6,U2
Hannover Hbf,B,G03,RE 7,Regional,DB Regio,Göttingen,approaching,closing,24.7,0.2,16,200,8.0,1,1,360,left,96,OPTIMAL,11,green,1,2024-03-16,16.2,58,1.2,U4
Bremen Hbf,A,G01,ICE 102,Higher Speed,DB Fernverkehr,München Hbf,approaching,closing,24.1,0.2,32,800,4.0,7,0,420,left,98,OPTIMAL,8,green,6,2024-03-16,31.4,57,1.4,U5
Bremen Hbf,A,G02,RE 1,Regional,DB Regio,Hannover Hbf,arrived,open,26.4,1.0,14,200,7.0,0,4,380,middle,86,WARNING,29,yellow,3,2024-03-08,23.7,64,2.6,U3
Bremen Hbf,A,G03,S1,S-Bahn,S-Bahn Bremen,Farge,departed,closed,23.6,0.1,8,320,2.5,0,0,380,right,97,OPTIMAL,6,green,2,2024-03-19,12.8,55,1.0,U1
Bremen Hbf,B,G01,ICE 226,Higher Speed,DB Fernverkehr,Frankfurt(Main)Hbf,approaching,closing,25.3,0.3,41,800,5.1,5,-2,420,middle,91,MONITOR,19,green,7,2024-03-13,28.9,59,1.7,U5
Bremen Hbf,B,G02,S2,S-Bahn,S-Bahn Bremen,Osterholz,clear,closed,23.5,0.0,0,320,0.0,0,0,380,middle,100,OPTIMAL,0,green,4,2024-03-22,8.9,51,0.7,U2
Bremen Hbf,B,G03,RE 4,Regional,DB Regio,Oldenburg(Oldb),departed,closed,24.0,0.1,11,200,5.5,0,6,360,left,98,OPTIMAL,4,green,1,2024-03-17,15.3,56,1.1,U3
Kiel Hbf,A,G01,ICE 20,Higher Speed,DB Fernverkehr,Köln Hbf,approaching,closing,24.7,0.2,25,800,3.1,9,0,420,left,96,OPTIMAL,10,green,4,2024-03-15,29.6,57,1.5,U5
Kiel Hbf,A,G02,RE 7,Regional,DB Regio,Neumünster,arrived,open,26.8,0.9,12,200,6.0,0,3,380,middle,88,MONITOR,26,yellow,2,2024-03-12,19.4,63,2.4,U4
Kiel Hbf,A,G03,,ICE,DB Fernverkehr,Hamburg Hbf,clear,closed,23.3,0.0,0,800,0.0,0,0,420,right,100,OPTIMAL,1,green,5,2024-03-22,7.1,50,0.6,U6
Kiel Hbf,B,G01,IC 35,Intercity,DB Fernverkehr,Berlin Hbf,approaching,closing,25.4,0.4,30,400,7.5,4,-1,400,middle,89,MONITOR,22,yellow,1,2024-03-17,24.8,61,2.0,U4
Kiel Hbf,B,G02,,S-Bahn,S-Bahn Kiel,Schönberg,clear,closed,23.6,0.0,0,320,0.0,0,0,380,middle,100,OPTIMAL,0,green,3,2024-03-22,6.8,50,0.5,U1
Kiel Hbf,B,G03,RE 72,Regional,DB Regio,Eckernförde,departed,closed,24.1,0.1,7,200,3.5,0,5,360,right,96,OPTIMAL,7,green,1,2024-03-16,13.9,55,1.0,U2
Mainz Hbf,A,G01,ICE 45,Higher Speed,DB Fernverkehr,Köln Hbf,approaching,closing,24.2,0.2,28,800,3.5,3,0,420,left,97,OPTIMAL,9,green,2,2024-03-14,32.1,57,1.5,U5
Mainz Hbf,A,G02,S6,S-Bahn,S-Bahn Mainz,Wiesbaden,arrived,open,26.5,0.8,16,320,5.0,0,2,380,middle,87,MONITOR,28,yellow,3,2024-03-05,18.9,62,2.3,U3
Mainz Hbf,A,G03,RE 3,Regional,DB Regio,Mannheim Hbf,departed,closed,23.7,0.1,9,200,4.5,0,0,360,right,98,OPTIMAL,5,green,4,2024-03-19,14.2,55,1.0,U4
Mainz Hbf,B,G01,ICE 156,Higher Speed,DB Fernverkehr,Berlin Hbf,approaching,closing,25.5,0.3,35,800,4.4,6,-2,420,middle,90,MONITOR,17,green,1,2024-03-12,27.6,59,1.7,U5
Mainz Hbf,B,G02,,S-Bahn,S-Bahn Mainz,Rüsselsheim,clear,closed,23.5,0.0,0,320,0.0,0,0,380,middle,100,OPTIMAL,0,green,5,2024-03-22,8.3,51,0.7,U2
Mainz Hbf,B,G03,RE 14,Regional,DB Regio,Heidelberg Hbf,departed,closed,24.2,0.1,13,200,6.5,0,4,360,left,99,OPTIMAL,3,green,1,2024-03-16,15.8,56,1.1,U3
Nürnberg Hbf,A,G01,ICE 29,Higher Speed,DB Fernverkehr,München Hbf,approaching,closing,24.8,0.2,42,800,5.3,4,0,420,left,96,OPTIMAL,11,green,10,2024-03-15,36.5,57,1.5,U5
Nürnberg Hbf,A,G02,S2,S-Bahn,S-Bahn Nürnberg,Roth,arrived,open,26.9,0.8,19,320,5.9,0,1,380,middle,86,WARNING,30,yellow,3,2024-03-07,21.3,64,2.4,U3
Nürnberg Hbf,A,G03,RE 30,Regional,DB Regio,Würzburg Hbf,departed,closed,23.9,0.1,11,200,5.5,0,0,360,right,98,OPTIMAL,5,green,4,2024-03-18,16.5,55,1.1,U4
Nürnberg Hbf,B,G01,ICE 401,Higher Speed,DB Fernverkehr,Hamburg Hbf,approaching,closing,25.1,0.3,37,800,4.6,8,-1,420,middle,91,MONITOR,16,green,11,2024-03-11,30.2,59,1.7,U5
Nürnberg Hbf,B,G02,,S-Bahn,S-Bahn Nürnberg,Dutzendteich,clear,closed,23.4,0.0,0,320,0.0,0,0,380,middle,100,OPTIMAL,0,green,6,2024-03-22,8.5,50,0.7,U1
Nürnberg Hbf,B,G03,RE 22,Regional,DB Regio,Bamberg,departed,closed,24.3,0.1,14,200,7.0,0,5,360,left,97,OPTIMAL,6,green,1,2024-03-17,13.7,56,1.0,U2
Freiburg Hbf,A,G01,ICE 60,Higher Speed,DB Fernverkehr,Frankfurt(Main)Hbf,approaching,closing,24.4,0.2,31,800,3.9,5,0,420,left,97,OPTIMAL,8,green,1,2024-03-14,28.9,57,1.5,U5
Freiburg Hbf,A,G02,RE 2,Regional,DB Regio,Offenburg,arrived,open,26.6,0.9,13,200,6.5,0,3,380,middle,89,MONITOR,25,yellow,2,2024-03-09,17.6,62,2.4,U4
Freiburg Hbf,A,G03,S1,S-Bahn,S-Bahn Freiburg,Schwarzwald-Stadion,departed,closed,23.8,0.1,7,320,2.2,0,0,380,right,98,OPTIMAL,5,green,3,2024-03-18,11.4,55,1.0,U3
Freiburg Hbf,B,G01,ICE 78,Higher Speed,DB Fernverkehr,Berlin Hbf,approaching,closing,25.6,0.3,40,800,5.0,7,-2,420,middle,89,MONITOR,22,yellow,4,2024-03-12,26.3,60,1.8,U5
Freiburg Hbf,B,G02,,S-Bahn,S-Bahn Freiburg,Freiburg Messe,clear,closed,23.5,0.0,0,320,0.0,0,0,380,middle,100,OPTIMAL,0,green,5,2024-03-22,7.9,50,0.6,U1
Freiburg Hbf,B,G03,RE 7,Regional,DB Regio,Basel SBB,departed,closed,24.4,0.1,10,200,5.0,0,2,360,left,96,OPTIMAL,8,green,1,2024-03-15,14.7,56,1.1,U2
Mannheim Hbf,A,G01,ICE 50,Higher Speed,DB Fernverkehr,München Hbf,approaching,closing,24.3,0.2,36,800,4.5,6,0,420,left,96,OPTIMAL,10,green,5,2024-03-16,32.8,57,1.5,U5
Mannheim Hbf,A,G02,RE 1,Regional,DB Regio,Karlsruhe Hbf,arrived,open,26.7,1.0,17,200,8.5,0,2,380,middle,85,WARNING,31,yellow,3,2024-03-04,20.2,64,2.6,U4
Mannheim Hbf,A,G03,S3,S-Bahn,S-Bahn Mannheim,Ludwigshafen(Rhein),departed,closed,23.9,0.1,6,320,1.9,0,0,380,right,98,OPTIMAL,6,green,1,2024-03-20,12.3,55,1.0,U2
Mannheim Hbf,B,G01,ICE 106,Higher Speed,DB Fernverkehr,Hamburg Hbf,approaching,closing,25.4,0.3,44,800,5.5,4,-1,420,middle,91,MONITOR,15,green,6,2024-03-13,27.9,60,1.8,U5
Mannheim Hbf,B,G02,RE 4,Regional,DB Regio,Heidelberg Hbf,departed,closed,24.0,0.1,10,200,5.0,0,3,360,middle,98,OPTIMAL,4,green,2,2024-03-17,16.1,56,1.1,U3
Mannheim Hbf,B,G03,,ICE,DB Fernverkehr,Frankfurt(Main)Hbf,clear,closed,23.7,0.0,0,800,0.0,0,0,420,middle,100,OPTIMAL,1,green,7,2024-03-22,9.6,51,0.7,U6
Dresden Hbf,A,G01,ICE 17,Higher Speed,DB Fernverkehr,München Hbf,approaching,closing,24.6,0.2,34,800,4.3,5,0,420,left,97,OPTIMAL,9,green,8,2024-03-16,31.2,57,1.5,U5
Dresden Hbf,A,G02,S1,S-Bahn,S-Bahn Dresden,Schöna,arrived,open,26.4,0.8,15,320,4.7,0,1,380,middle,88,MONITOR,26,yellow,2,2024-03-08,19.8,63,2.3,U4
Dresden Hbf,A,G03,RE 2,Regional,DB Regio,Zittau,departed,closed,23.8,0.1,8,200,4.0,0,0,360,right,98,OPTIMAL,5,green,3,2024-03-19,13.5,55,1.0,U3
Dresden Hbf,B,G01,ICE 372,Higher Speed,DB Fernverkehr,Frankfurt(Main)Hbf,approaching,closing,25.2,0.3,39,800,4.9,7,-2,420,middle,90,MONITOR,18,green,9,2024-03-12,25.4,60,1.7,U5
Dresden Hbf,B,G02,,S-Bahn,S-Bahn Dresden,Heidenau,clear,closed,23.5,0.0,0,320,0.0,0,0,380,middle,100,OPTIMAL,0,green,4,2024-03-22,7.3,50,0.6,U1
Dresden Hbf,B,G03,RE 15,Regional,DB Regio,Pirna,departed,closed,24.1,0.1,12,200,6.0,0,4,360,left,97,OPTIMAL,6,green,1,2024-03-16,14.9,56,1.1,U2
Berlin Südkreuz,A,G01,S11,S-Bahn,DB Fernverkehr,Berlin Hbf,approaching,jammed,27.4,1.2,6,800,0.8,7,0,420,left,98,CRITICAL,70,red,9,2024-09-16,19.8,58,1.8,U6
Berlin Südkreuz,A,G02,ICE 416,Higher Speed,DB Fernverkehr,Berlin Hbf,approaching,closed,24.4,0.5,5,800,0.6,7,-3,400,middle,96,OPTIMAL,3,green,10,2024-12-25,9.4,61,1.6,U4
Berlin Südkreuz,A,G03,RE 4732,Regional,DB Fernverkehr,Hamburg Hbf,arrived,closing,22.9,1.3,28,200,14.0,0,0,420,middle,97,WARNING,32,yellow,9,2024-05-27,24.6,65,1.0,U1
Berlin Südkreuz,B,G01,RE 9732,Regional,DB Fernverkehr,Hamburg Hbf,approaching,closed,23.8,1.4,2,800,0.2,8,3,360,right,100,MONITOR,33,green,4,2024-04-14,36.1,54,2.6,U3
Berlin Südkreuz,B,G02,RE 1420,Regional,DB Fernverkehr,Dresden Hbf,approaching,closing,26.7,0.6,28,800,3.5,2,0,380,left,99,OPTIMAL,5,green,17,2024-07-24,19.7,55,1.9,U3
Berlin Südkreuz,B,G03,ICE 1971,ICE,DB Fernverkehr,Berlin Hbf,clear,closing,24.7,0.2,24,800,3.0,0,0,380,middle,94,OPTIMAL,7,green,15,2024-07-09,28.3,55,1.5,U6
Berlin Ostbahnhof,A,G01,IC 1198,Intercity,DB Regio,Cottbus,approaching,closed,23.1,0.1,2,320,0.6,2,-2,420,left,99,OPTIMAL,16,green,9,2024-07-20,36.2,51,2.2,U1
Berlin Ostbahnhof,A,G02,S7,S-Bahn,DB Regio,Cottbus,clear,closed,23.9,0.4,3,200,1.5,0,0,360,left,97,OPTIMAL,13,green,12,2024-09-12,11.9,50,1.8,U8
Berlin Ostbahnhof,A,G03,ICE 1258,Higher Speed,DB Regio,Cottbus,approaching,closed,26.9,0.8,7,400,1.8,0,4,380,middle,98,OPTIMAL,4,green,15,2024-10-28,19.4,61,1.3,U3
Berlin Ostbahnhof,B,G01,IC 986,Intercity,DB Regio,Frankfurt (Oder),approaching,closed,21.7,0.9,4,400,1.0,0,10,360,left,98,OPTIMAL,28,green,17,2024-05-15,8.5,63,2.5,U7
Berlin Ostbahnhof,B,G02,ICE 1778,ICE,DB Regio,Cottbus,approaching,closing,22.1,1.2,21,400,5.2,6,-2,400,left,95,OPTIMAL,4,green,8,2024-10-20,10.2,57,1.4,U5
Berlin Ostbahnhof,B,G03,ICE 163,Higher Speed,DB Regio,Warschau,approaching,closing,27.5,1.3,27,320,8.4,0,5,420,right,94,MONITOR,26,green,8,2024-04-21,16.7,61,1.0,U6
München Ost,A,G01,ICE 908,Higher Speed,DB Regio Bayern,Rosenheim,approaching,closed,23.0,0.8,5,320,1.6,0,0,380,right,99,OPTIMAL,7,green,5,2024-10-06,41.7,50,1.9,U5
München Ost,A,G02,S8,S-Bahn,DB Regio Bayern,Innsbruck,departed,closing,26.1,0.8,32,800,4.0,0,6,420,right,98,OPTIMAL,15,green,1,2024-03-04,13.0,53,2.2,U8
München Ost,A,G03,ICE 1798,Higher Speed,DB Regio Bayern,Salzburg Hbf,approaching,closing,25.8,0.6,24,400,6.0,5,10,380,middle,96,OPTIMAL,12,green,15,2024-02-14,13.3,49,0.7,U3
München Ost,B,G01,RE 9599,Regional,DB Regio Bayern,Rosenheim,clear,closing,22.8,0.9,25,320,7.8,0,0,360,right,90,OPTIMAL,12,green,16,2024-12-17,44.4,63,2.0,U3
München Ost,B,G02,ICE 690,ICE,DB Regio Bayern,Innsbruck,clear,closing,22.3,0.4,24,800,3.0,0,0,360,left,90,OPTIMAL,29,green,8,2024-07-23,26.9,49,1.0,U4
München Ost,B,G03,ICE 600,Higher Speed,DB Regio Bayern,Rosenheim,departed,closed,26.1,0.7,6,800,0.8,0,10,420,left,99,OPTIMAL,6,green,13,2024-04-11,32.3,58,2.1,U6
Frankfurt Flughafen,A,G01,ICE 1648,Higher Speed,DB Fernverkehr,Koeln Hbf,departed,closing,23.0,0.5,21,800,2.6,0,10,420,left,100,OPTIMAL,6,green,4,2024-01-24,22.7,57,2.6,U4
Frankfurt Flughafen,A,G02,RE 5424,Regional,DB Fernverkehr,Koeln Hbf,departed,closing,22.8,0.5,30,200,15.0,0,-2,360,right,97,OPTIMAL,29,green,13,2024-04-20,18.8,61,2.3,U8
Frankfurt Flughafen,A,G03,ICE 270,Higher Speed,DB Fernverkehr,Hamburg Hbf,clear,closing,24.7,0.0,19,800,2.4,0,0,360,middle,100,OPTIMAL,24,green,7,2024-09-03,18.4,60,1.7,U4
Frankfurt Flughafen,B,G01,RE 2427,Regional,DB Fernverkehr,Koeln Hbf,approaching,closed,26.8,0.0,5,800,0.6,0,2,360,right,96,OPTIMAL,15,green,3,2024-04-07,41.1,65,1.9,U3
Frankfurt Flughafen,B,G02,IC 1733,Intercity,DB Fernverkehr,Stuttgart Hbf,clear,closing,22.7,0.1,21,320,6.6,0,0,400,left,91,OPTIMAL,2,green,5,2024-04-16,14.4,52,0.7,U7
Frankfurt Flughafen,B,G03,S1,S-Bahn,DB Fernverkehr,Stuttgart Hbf,approaching,closed,26.3,0.7,9,800,1.1,0,6,360,left,99,OPTIMAL,9,green,1,2024-10-16,20.7,62,1.9,U1
